blockchain,amount_coin,amount_usd,hash,from_to,id,date,price,change24h_pct
BTC,25.85524,1049919,Multiple Hashes,unknown-unknown,1830259041,2022-04-18 17:57:00,40779.01,1.32
BTC,72.91187,2960775.2,b32ffb4b25f2fb2c29f4c27dee13dd7933f88a82dadaba025e3462fa13e4aebb,unknown-unknown,1830256515,2022-04-18 17:57:38,40758.56,1.28
BTC,24.71625,1005312.5,Multiple Hashes,unknown-unknown,1830261348,2022-04-18 18:02:00,40800.37,1.46
BTC,13.998356,570126.8,Multiple Hashes,unknown-unknown,1830262537,2022-04-18 18:03:00,40792.03,1.41
BTC,25,1018203.1,5eb22899029a45588c395ff8b5968da1be5359df81b3f16231728a26b384a9a7,exchange-unknown,1830261411,2022-04-18 18:03:05,40792.03,1.41
BTC,14.836549,603753.44,77fe6ed1eafe23a61c5139c54e5dac6cb9314f0663c7b12999b0145db917d98e,unknown-unknown,1830262569,2022-04-18 18:04:07,40792.03,1.41
BTC,24.514256,994316.06,Multiple Hashes,unknown-unknown,1830267886,2022-04-18 18:16:00,41083.36,2.17
BTC,30.950354,1255368.9,fb360c2b9e4fd4335a1cbc718fbc6937c2898fc0e59efac789e6a32b22ca50c4,unknown-unknown,1830265069,2022-04-18 18:16:41,41083.36,2.17
BTC,12.254047,500572.84,Multiple Hashes,unknown-unknown,1830269891,2022-04-18 18:24:00,40945.36,1.86
BTC,28.997414,1184532.5,39248d7cf7af7ac58471b444bac10877559b3f826b532554ae3053fe75ce5d6c,exchange-exchange,1830267927,2022-04-18 18:24:02,40945.36,1.86
BTC,74.84616,3058354,d6feb3dc40b0d67ba398d944f9ab91b23f93ceff3d6fd938634a4ceca1dbf550,unknown-unknown,1830269905,2022-04-18 18:32:54,40930.96,1.74
BTC,26.779171,1094280.1,Multiple Hashes,unknown-unknown,1830276106,2022-04-18 18:51:00,40806.69,1.46
BTC,73.882256,3019058.5,e3e8bb7a098eb174d0eaa8312cbb8c9beab770c41b8462b2119e05c4c60dbd48,unknown-unknown,1830273764,2022-04-18 18:51:23,40797.38,1.44
BTC,15.314938,628578.9,8aef1f14d4ff29e89562d179e8885fb34066bb8a6c4e8b62efdea049b1853bdf,unknown-unknown,1830276136,2022-04-18 18:54:01,40813.69,1.48
BTC,73.87807,3015106.2,3b845252c7529931fd2ce71c18a9d803b97155ee288ee02f37d2e2d23bc95918,unknown-unknown,1830280710,2022-04-18 19:09:49,40809.81,1.33
BTC,17.044214,693549.3,Multiple Hashes,unknown-unknown,1830285147,2022-04-18 19:22:00,40828.92,1.3
BTC,75.8251,3085413.8,1ec0d2c8c3c7063b7a703e0464a86ed9807406f00e214267031cd6ebec7fcfbf,unknown-unknown,1830283966,2022-04-18 19:22:16,40828.92,1.3
BTC,52.59217,2152766.2,d590fc5f8bfd4f10a4fbb5f7bf4c32b63465164886a137001e4a4f1990e6dd36,unknown-unknown,1830285280,2022-04-18 19:23:51,40805.9,1.24
BTC,25.120344,1026123.7,Multiple Hashes,unknown-unknown,1830291012,2022-04-18 19:43:00,40810.26,2.14
BTC,1000,40848310,8d18e74ba88aaec4011e68068e328ecb9bd1961bddb46bb3ebadd7a1a72510c4,unknown-exchange,1830288859,2022-04-18 19:43:20,40787.52,1.9
BTC,322.682,13108678,7a9c2962f038fd9042e7349c1494906f9d8dfccd843597f351471a33700d267f,unknown-unknown,1830291083,2022-04-18 19:44:57,40803.46,1.92
BTC,12.459669,508432.8,Multiple Hashes,unknown-unknown,1830294669,2022-04-18 19:49:00,40901.45,2.11
BTC,16.338139,666698.75,40b2f2f66f3a37c30fa390878d03980027794fa0f59e7f615593e147bd559379,unknown-unknown,1830292588,2022-04-18 19:49:11,40881.97,2.09
BTC,30.681416,1251994.6,389e92ce9763e5f29c3d9bb0cfea77468c999ca050b8a370dfa1148bf21e93a3,unknown-unknown,1830293562,2022-04-18 19:49:37,40878.65,2.11
BTC,32.555725,1325048.5,147d995c200fec5e91f2810fc5bbec565e84bbc26b4178f9883a30bb7a6c6642,exchange-exchange,1830294701,2022-04-18 19:53:20,40969.74,2.45
BTC,73.95681,3014963,7e83323a80fa7575502c39eeba4bfb8aa7d59ff1113a4d1dc3f2034037e6683d,unknown-unknown,1830297647,2022-04-18 20:07:18,40862.21,2.32
BTC,75.82164,3080212,bbc69f889084df0653af556e1dd69c056833cb199252a6f95eac1e8301be27bf,unknown-unknown,1830303692,2022-04-18 20:37:05,40772.71,2.87
BTC,27.045336,1098163.5,Multiple Hashes,unknown-unknown,1830312639,2022-04-18 21:08:00,40895.64,2.93
BTC,73.80915,2996987,a348718608b9c25835faf14db92bd3740429cdbaf6c1908c031bd3bf14d54357,unknown-unknown,1830310267,2022-04-18 21:08:26,41044.79,3.22
BTC,20.539026,837278.1,Multiple Hashes,unknown-unknown,1830315241,2022-04-18 21:10:00,41023.58,3.13
BTC,14.999366,611452.6,0ac157aa690cec290d076e57ac6f91981429e9b259aee717a6aefc94897856b5,unknown-unknown,1830312683,2022-04-18 21:10:58,40980.06,3.01
BTC,15.217987,619101.6,Multiple Hashes,unknown-unknown,1830316530,2022-04-18 21:14:00,40908.31,2.91
BTC,12.503286,508661.56,c213eafd143e6500092c9aedbafe8886b7dc16d39be91ffb0784f6cca988b2fa,unknown-unknown,1830315271,2022-04-18 21:14:32,40927.27,2.97
BTC,14.251675,584112.75,9974a16a43beef9a86d90ecd2fbe3f04f8cd572f49321bb0051b8cba93043d6f,,,,,
