blockchain,amount_coin,amount_usd,hash,from_to,id,date
HUSD,703293,703293,10148e45129659da8a18931d015c489fa6d7c0fc189041817873de10db87c8fc,exchange-unknown,1830255675,2022-04-18 17:52:37
PAX,2471581.8,2487118.8,15e40ef416c0475bd10e75a738d5314db2b767cb68041279fdfd46deff315bb3,unknown-exchange,1830255803,2022-04-18 17:52:54
PAX,719884.5,713848.9,dd360779726efd47a643ffc40de68b225db6453fc195b76b16961071cfc07561,exchange-unknown,1830255943,2022-04-18 17:54:08
HUSD,703293,703293,4bfc1aa7d9a56e7c171b6d5163f65e5e141fb4f3599f9ea69a45cd2ab6788e19,unknown-exchange,1830255959,2022-04-18 17:54:23
USDT,549131.4,549131.4,1e266711612e5f29afbaef2f72b2f58c9880ab4ad8817f2024a01d7a3e38d09a,exchange-unknown,1830255999,2022-04-18 17:55:09
USDC,714535.56,714535.56,59c758a3b30d7604349b392f35e713443c20d7b8da0ee1bfa5cb575c8cb7791c,unknown-unknown,1830256099,2022-04-18 17:55:23
ETH,339.9993,1022223.06,f79c5471a3be447c4dd1e8249c61854da70b9b3d66c82632f98207ae636a005b,unknown-unknown,1830256137,2022-04-18 17:55:49
USDT,801004,801004,33353d8ccdb8f0f8246ee4854ce46910f91be7e4a2bfda0b9fbc215ed1d5a2d6,unknown-unknown,1830256192,2022-04-18 17:56:06
ETH,169.998,511221.44,6dc1e96a293fcfd31b629668eb47f4ae2c9af60724630a4241c6ae06c5de23df,exchange-exchange,1830256262,2022-04-18 17:56:18
BTC,25.85524,1049919,Multiple Hashes,unknown-unknown,1830259041,2022-04-18 17:57:00
USDT,546072,546072,6934135c2e1dcc558890ebf48368f45e1b00feeecd4724f4455a50d4b2da9f23,unknown-unknown,1830256385,2022-04-18 17:57:30
BTC,72.91187,2960775.2,b32ffb4b25f2fb2c29f4c27dee13dd7933f88a82dadaba025e3462fa13e4aebb,unknown-unknown,1830256515,2022-04-18 17:57:38
USDT,706139,706139,e262bd565cae62d83c95fc3940a86c1b3fdf9b37e449849e76bd2cbd35e9590c,exchange-unknown,1830256455,2022-04-18 17:58:48
USDT,6498700.5,6498700.5,d7fd6f07869a6bff2f134ea7c85fe00baa860d2c74d6ac3d3a736b0c4c5abe7b,unknown-exchange,1830258795,2022-04-18 17:58:55
USDT,599998.3,599998.3,57c968f46bd83889d05c05166fb56c87ea3e121949d02283a521f96b1d74f04d,unknown-unknown,1830258509,2022-04-18 17:59:00
ETH,178.1762,536032.7,91d085d5daa65743ec58d277f807d0663f3854225bd0e684f8561b3156350b11,exchange-unknown,1830258817,2022-04-18 17:59:17
USDC,610347.2,610347.2,d29b151e4a9f4180a8a15e50e689bcb76c62ddc7ee0ad33c1af0b170ca1461f4,unknown-unknown,1830261088,2022-04-18 18:00:41
USDT,706139,706139,cfb2603e931d974bc8607fad21f8c53ad95948b310c5a1e009970fb19107ef38,unknown-exchange,1830258701,2022-04-18 18:00:57
BTC,24.71625,1005312.5,Multiple Hashes,unknown-unknown,1830261348,2022-04-18 18:02:00
ETH,203.99301,610978.9,bbc15f90a0e7425b8ca4ea22e62030e56f5d7f9c697a76cea74480f402284afa,exchange-exchange,1830261191,2022-04-18 18:02:42
BTC,13.998356,570126.8,Multiple Hashes,unknown-unknown,1830262537,2022-04-18 18:03:00
BTC,25,1018203.1,5eb22899029a45588c395ff8b5968da1be5359df81b3f16231728a26b384a9a7,exchange-unknown,1830261411,2022-04-18 18:03:05
BTC,14.836549,603753.44,77fe6ed1eafe23a61c5139c54e5dac6cb9314f0663c7b12999b0145db917d98e,unknown-unknown,1830262569,2022-04-18 18:04:07
ETH,1087,3246736.5,b3d01f09dec69b323ad9d0081f78ace51f265dccd0f678fbaea0641259240810,unknown-unknown,1830262493,2022-04-18 18:04:15
USDT,500000,500000,4f9f392e88b581318fa2d20eebe3a4945e3991bf4f381ed6c9128274dc0a07b1,unknown-unknown,1830262409,2022-04-18 18:04:27
USDT,500000,500000,d8ec358ba592ee932f82c52f735289a7d16ac770f3a34157936d1f479cadeba6,unknown-unknown,1830262418,2022-04-18 18:04:33
USDT,999484.2,999484.2,18a275556b649df1c974b79dd92d12820ec732105f1500bab524830dbebe3343,unknown-unknown,1830263707,2022-04-18 18:04:59
XRP,2634905,1992235.6,48C861253876E898E932566341C42675A39B013DD5E98A762F7733625FEEA91B,exchange-exchange,1830263589,2022-04-18 18:05:40
